summary_index,product,categories,avg_sentiment,avg_rating,rating_count,avg_doRecommend,sample_feedback,rank
10,Brand Name Voyage E Reader 6 High Resolution Display 300 Ppi With Adaptive Built In Light Pagepress Sensors Wi Fi Includes Special Offers,"['office electronics', 'tablets', 'electronics', 'computers & tablets', 'ereaders', 'electronics features']",0.9939759036144579,4.716867469879518,332,0.9728915662650602,"Great product!This was a gift for my wife, she had a previous version, and she loved the upgrade to tjis new version.",1556.566265060241
11,Brand Name Voyage E Reader 6 High Resolution Display 300 Ppi With Adaptive Built In Light Pagepress Sensors Wi Fi Includes Special Offers,"['office electronics', 'tablets', 'office', 'electronics', 'computers & tablets', 'ereaders', 'electronics features', 'media', 'tvs & electronics']",0.9758064516129032,4.778225806451613,248,0.9879032258064516,Easy to HoldMuch better than my original brand name. Lighter and easier to read. The old brand name served me well and I won't retire it but it;s newer version is good.,1156.3306451612902
12,Brand New Electronics Brand Ipad16Gb 7 Ips Display Tablet Wifi 16 Gb Blue,"['computers & tablets', 'ereaders', '']",1.0,4.862745098039215,51,1.0,"can read in bright sunlightmy wife surprised me with this, and I wasn't sure I needed it... after all, I have a smart phone, laptop, surface and a mini-tablet ... seems redundant, no?Long story short, none of those other devices are optimal in bright sunshine. This one is. it has more capabilities than I am sure I am using. need to learn to read magazines on it. but it works well, and especially outside.",247.99999999999997
13,Brand New Electronics Brand Ipad16Gb 7 Ips Display Tablet Wifi 16 Gb Blue,"['computers & tablets', 'tablets', '']",0.9445145018915511,4.515762925598991,793,0.9583858764186634,Perfect for my kidsMy kids have enjoyed using this device. They have downloaded games and shows.,3382.306431273644
14,Brand New Electronics Brand Ipad16Gb 7 Ips Display Tablet Wifi 16 Gb Blue,"['electronics features', 'computers & tablets', 'ereaders']",1.0,4.666666666666667,6,0.8333333333333334,"GoodThis was a gift for my friend. My friend likes it, I wouldn't buy something like this for this much money. The screen is small.",28.0
15,Brand New Electronics Brand Ipad16Gb 7 Ips Display Tablet Wifi 16 Gb Blue,"['electronics', 'retail', 'streaming media players', '']",1.0,5.0,6,1.0,"Works great with one critical flaw. (significantly improved)Having received my XYZ brand TV today, I've been trying it out for the past couple of hours.Setup was a no brainer. It required an update immediately so it did take about 15 minutes to have it in action but the process was very simple.The image quality (movies and games) is excellent. I've tried several movies from Target app and they look and sound nearly Blu Ray quality as far as I can tell.Navigation is very straightforward and it's generally easy to find anything you're looking for. Installation of games and apps goes very smoothly and generally pretty quickly.The remote works very well. I haven't played with the voice search feature much yet, but when I have tried it, it worked well. The buttons on the remote are well thought out and I prefer it to the electronics brand TV remote.I only have one gripe. As far as I can tell, there's no way to limit the list of movies and tv shows to what is available for Target app members. This makes it very inconvenient to find things that are free to watch. There are some categories that are limited to app (Most Popular on app, For Kids on app) I want to be able to just see what's available for app or at least be able to see by category what's available for app. I'm sure this isn't an oversight. I suspect Target wants to force us to look at everything and be tempted to buy/rent things but if they really want to compete with movie app, they'll understand that we pay for our app membership to be able to watch free movies conveniently. A workaround is to do your searching on the web and then search specifically on the device.Perhaps I just haven't found the way to search for app available content. I hope that's the case or I will really be disappointed.Read more",30.0
16,Brand New Electronics Brand Ipad16Gb 7 Ips Display Tablet Wifi 16 Gb Blue,"['retail', 'media', 'ereaders', 'accessories']",1.0,4.5,2,1.0,brand name protectorHas been on my granddaughters brand name for many month and still working great,9.0
17,Brand New Electronics Brand Ipad16Gb 7 Ips Display Tablet Wifi 16 Gb Blue,"['tablets', 'computers & tablets', '']",1.0,5.0,7,1.0,Great for the priceThis is a great little tablet for what you're paying for it! Gets everything done that I need it to,35.0
18,Brand New Electronics Brand Ipad16Gb 7 Ips Display Tablet Wifi 16 Gb Blue,"['tablets', 'computers & tablets', 'electronics', 'tech toys', 'media', 'retail']",0.9421965317919075,4.595375722543353,173,0.9653179190751445,AmazingThe best value for the money hands down. Works perfectly.,749.0462427745665
19,Certified Refurbished Electronics Brand Tv Previous Generation 1St,"['tablets', 'computers & tablets', 'electronics', 'tech toys', 'media', 'retail']",1.0,5.0,1,1.0,Good purchaseI purchased for me nephew and I must say it's an awesome buy for a kid. The price is good. Picture quality is good.,5.0
20,Certified Refurbished Electronics Brand Tv Previous Generation 1St Certified Refurbished Electronics Brand Tv Previous Generation 1St,"['tablets', 'computers & tablets', 'electronics', 'tech toys', 'media', 'retail']",1.0,4.0,2,1.0,Great tablet for a childLove the fact that it has parental controls to manage the tablet usage.,8.0
21,Certified Refurbished Electronics Brand Tv Stick Previous Generation 1St Brand Name Paperwhite,"['office electronics', 'tablets', 'electronics', 'computers & tablets', 'ereaders', 'electronics features']",1.0,5.0,1,1.0,"like a book but betterThe new design is lighter, has a longer battery life and the page displays are crisp and clear. The light adapts to the environment you are reading in to keep the image consistent. The new brand name Voyage is amazing!",5.0
22,Certified Refurbished Electronics Brand Tv Stick Previous Generation 1St Certified Refurbished Electronics Brand Tv Stick Previous Generation 1St,"['office electronics', 'tablets', 'electronics', 'computers & tablets', 'ereaders', 'electronics features']",1.0,5.0,1,1.0,Was a giftBought this for my cousins and he absolutely loves it.,5.0
23,Certified Refurbished Electronics Brand Tv With Alexa Voice Remote Certified Refurbished Electronics Brand Tv With Alexa Voice Remote,"['office electronics', 'tablets', 'electronics', 'computers & tablets', 'ereaders', 'electronics features']",1.0,5.0,4,1.0,"Three times a charmThis is my third brand name and is the best by far. The smaller size is great because it fits nicely in my purse so I never leave home without it. Other great features are page turning, adjusting light and weight.",20.0
24,Coconut Water Red Tea 16 5 Oz Pack Of 12 Electronics Brand Tv,"['stereos', 'remote controls', 'audio', 'kitchen & dining features', 'electronics', 'tvs & electronics', 'retail', 'smart home', 'wireless speakers', 'home security', 'home automation', 'home', 'garage & office', 'electronics features', 'ipod', 'home & furniture clearance', 'consumer electronics', 'surveillance', 'home improvement', 'smart hubs', 'holiday shop']",1.0,5.0,1,1.0,AwesomeEven better than the Echo Dot. It has a fantastic speaker!,5.0
25,Electonics Brand Home,"['computers & tablets', 'tablets', 'retail']",1.0,4.7,10,1.0,Love brand name XYZ brandI love this product. Perfect size for travel. I take it everywhere. Great for watching videos as well.,47.0
26,Electonics Brand Home,"['electronics features', 'computers & tablets', 'tablets']",0.9032258064516129,4.424731182795699,372,0.9327956989247311,Great tabletI got a great tablet from a great company with excellent customer service.I love buying from best buy and i love the warranties they offer,1486.7096774193549
27,Electonics Brand Home,"['retail', 'streaming media players', 'electronics']",0.75,3.125,8,0.5,"Purchase a new one, stay away from the refurbished XYZ brand tv.Stay away from the certified refurbished Target XYZ brand TV. I received two Certified Refurbished defective XYZ brand TVs. The first the screen looked half corrupted, see the pictures. The second Certified Refurbished Target XYZ brand tv I received would not boot up, it was stuck in an infinite loop where I would only see the Target logo for 10 seconds then it would boot up again.If anything, Target needs to re-visit its refurbishment process and quality control of the refurbished products they let get in consumer hands.Update 11/28/16: I purchased a new XYZ brand TV during the BF sale and I have had no issues so far :).",18.75
28,Electonics Brand Home,"['stereos', 'remote controls', 'audio', 'kitchen & dining features', 'electronics', 'tvs & electronics', 'retail', 'smart home', 'wireless speakers', 'home security', 'home automation', 'home', 'garage & office', 'electronics features', 'ipod', 'home & furniture clearance', 'consumer electronics', 'surveillance', 'home improvement', 'smart hubs', 'holiday shop']",0.9950062421972534,4.63920099875156,801,0.968789013732834,"A Lot Of Fun, Well Made, Versatile, And Very UsefulI really enjoy the Echo. I got an Echo Dot and liked it so much I then got the full size Echo. I originally go the Echo Dot for the novelty thinking I wouldn't really use it very much but it turns out that I use them all the time. It is not something that anyone really needs but it is handy and a lot of fun. Some of the things it does really well: It's great at voice recognition - you seldom have to repeat yourself. Setting timers, reminders, and alarms is as easy as saying Alexa, wake me at 7 am Or Alexa, tell me when 10 minutes is up. If you are a app member the Echo is great at playing music from your music library or from app music. It's also great at playing radio stations (using tune-in and other apps). In the morning I'll say Alexa, play 680 WRKO to listen to Kim and VB on the radio. Some of the things the Echo is bad at: It's well known that it uses computers brand's Bing search engine so most anything the Echo has to search for comes back with the response I don't know that. Being able to tell the Echo to use Yahoo or electonics brand would make this a five star rating. Also, if you set an alarm or reminder it only reminds you on the device you specify or the one that hears you. For example, if I'm in the upstairs bedroom (location of the Echo Dot) and say Remind me to call John Smith in 10 minutes and then I go downstairs to the kitchen (location of the Echo), the reminder will only be in the bedroom. It would be nice if I could have an alarm or reminder set on both devices. The Echo Dot has the same capability as the full size Echo as far as I can tell. The only difference is the full size Echo has much better sound for music. That being said, the Echo Dot still sounds great, amazing really, for such a small device. But the full size Echo is like listening to a stereo. Again, these are well-made devices and are a lot of fun and very useful. Maybe not a necessity but they sure are a fun conversation piece with guests or grandkids come around.",3697.4431960049938
29,Electonics Brand Home,"['tablets', 'computers & tablets']",1.0,4.619047619047619,21,0.9523809523809523,"Excellent Value for the MoneyAlthough this won't be competing with the iPad or some higher end android tablets, this easily outperforms any other tablet in this price range. I also love the fact that, although this is made of plastic, it has a unibody design and great build quality; not flimsy like many other tablets at this price.",96.99999999999999
30,Electonics Brand Home Electonics Brand Home,"['stereos', 'remote controls', 'audio', 'kitchen & dining features', 'electronics', 'tvs & electronics', 'retail', 'smart home', 'wireless speakers', 'home security', 'home automation', 'home', 'garage & office', 'electronics features', 'ipod', 'home & furniture clearance', 'consumer electronics', 'surveillance', 'home improvement', 'smart hubs', 'holiday shop']",0.9857142857142858,4.693333333333333,2100,0.9642857142857143,Love Alexa.Like talking to a human! Can find an answer for most subjects as long as the internet is available. Fairly accurate also.,9715.2
31,Electonics Brand Home Xyz Brand Tablet 7 Display Wi Fi 8 Gb Includes Special Offers Tangerine,"['stereos', 'remote controls', 'audio', 'kitchen & dining features', 'electronics', 'tvs & electronics', 'retail', 'smart home', 'wireless speakers', 'home security', 'home automation', 'home', 'garage & office', 'electronics features', 'ipod', 'home & furniture clearance', 'consumer electronics', 'surveillance', 'home improvement', 'smart hubs', 'holiday shop']",1.0,4.0,1,1.0,"Pretty coolI've not yet learned - or taught - Alexa but it does perform a few functions that saves time or adds interest to my life. If there is a link to the skills or learning, I missed it. I think it could totally rock if that were available. I'm quite sure I'm not using it to its full capacity.",4.0
32,Electronics Brand Product Name Tablet A 10 1 Tablet 8 Hd Display Wi Fi 16 Gb Includes Special Offers Magenta,"['electronics', 'tablets', 'computers & tablets']",0.9623312011371713,4.5867093105899075,2814,0.9630419331911869,brand nameThis product so far has not disappointed. My children love to use it and I like the ability to monitor control what content they see with ease.,12420.80881307747
33,Electronics Brand Product Name Tablet A 10 1 Tablet 8 Hd Display Wi Fi 32 Gb Includes Special Offers Magenta,['electronics'],1.0,5.0,12,1.0,"Not the perfect do-it-all device, but very close to being the perfect e-reading device!I woke up to a nice surprise this morning: a new brand name as a gift. I have an iPad and a brand name DX, but I guess someone heard my complaints of them being too heavy and difficult to do extended-reading on. Don't get me wrong, I absolutely love my iPad and DX, but this new generation of brand name is perfect for reading outside and for long periods of time. The iPad gets completely washed out in sunlight and often irritates my eyes staring at it for more than a couple of hours. The DX was my go-to device for those extended/outdoor reading periods, but now I have a new friend for reading novels. Instead of a replacement, this one seems more like a companion to the other devices and is a different class. The iPad works great for web browsing, shopping, productivity, games, etc while the brand name falls short in those areas. The brand name works great for reading novels, where the iPad falls short. For those that love to do extended-reading of magazines, newspapers, research articles, etc, I find that the DX is the go-to device.br /br /Without a doubt, the size and weight of the new brand name is the biggest draw for me. It's smaller than the last edition by a significant margin. I've played around with the brand name 2 and was impressed, but now looking at the size of the new brand name, I'm blown away. It's the absolute perfect size. Smaller would be unmanageable and larger wouldn't feel nearly as good. This is a device that you can hold up, read, and just forget that it's there. Compared to other e-readers I've tried, it's much smaller and much lighter.br /br /One of my biggest complaints about the previous generation brand names and the DX is the speed. It sometimes takes a while after you push next page' for it to actually change.Read more",60.0
34,Electronics Brand Product Name Tablet A 10 1 Tablet 8 Hd Display Wi Fi 32 Gb Includes Special Offers Magenta,"['tablets', 'electronics', 'computers', 'computer components', 'hard drives & storage', 'computers & tablets', '']",0.9726027397260274,4.568493150684931,146,0.952054794520548,It was everything I was looking for.Through all of my research this was the best value for what I was looking for in an e-reader with additional options I was not sure I would use or not. Turns I do because of the ease of usage.,648.7260273972603
35,New Retail Brand Brand Name Xyz Brand Hd 9W Powerfast Adapter Charger Micro Usb Angle Cable,"['stereos', 'remote controls', 'audio', 'kitchen & dining features', 'electronics', 'tvs & electronics', 'retail', 'smart home', 'wireless speakers', 'home security', 'home automation', 'home', 'garage & office', 'electronics features', 'ipod', 'home & furniture clearance', 'consumer electronics', 'surveillance', 'home improvement', 'smart hubs', 'holiday shop']",1.0,5.0,1,1.0,Cool toyCool product. Target does a cool job with it. Great audio quality and like the Philips Hue integration.,5.0
36,New Retail Brand Brand Name Xyz Brand Hd 9W Powerfast Adapter Charger Micro Usb Angle Cable New Retail Brand Brand Name Xyz Brand Hd 9W Powerfast Adapter Charger Micro Usb Angle Cable,"['stereos', 'remote controls', 'audio', 'kitchen & dining features', 'electronics', 'tvs & electronics', 'retail', 'smart home', 'wireless speakers', 'home security', 'home automation', 'home', 'garage & office', 'electronics features', 'ipod', 'home & furniture clearance', 'consumer electronics', 'surveillance', 'home improvement', 'smart hubs', 'holiday shop']",1.0,4.166666666666667,6,0.6666666666666666,My new robotJust love it. Easy to set up and use. Tons of information and jokes. Plays all my music and give spots scores.,25.0
37,Retail Brand 5W Usb Official Oem Charger And Power Adapter For Xyz Brand Tablets And Brand Name Ereaders,"['tablets', 'computers & tablets', '']",1.0,5.0,1,1.0,Great tabletFast fun tablet with great speakers compared to previous XYZ brand tablet. Worth the money,5.0
38,Retail Brand 5W Usb Official Oem Charger And Power Adapter For Xyz Brand Tablets And Brand Name Ereaders Retail Brand 5W Usb Official Oem Charger And Power Adapter For Xyz Brand Tablets And Brand Name Ereaders,"['accessories', '']",0.9042553191489362,4.452127659574468,188,0.8670212765957447,Super qualityBought to use with brand name. Works fine! Good quality and charges the brand name quickly.,756.8617021276596
39,Retail Brand 5W Usb Official Oem Charger And Power Adapter For Xyz Brand Tablets And Brand Name Ereaders Retail Brand 5W Usb Official Oem Charger And Power Adapter For Xyz Brand Tablets And Brand Name Ereaders,"['stereos', 'remote controls', 'audio', 'kitchen & dining features', 'electronics', 'tvs & electronics', 'retail', 'smart home', 'wireless speakers', 'home security', 'home automation', 'home', 'garage & office', 'electronics features', 'ipod', 'home & furniture clearance', 'consumer electronics', 'surveillance', 'home improvement', 'smart hubs', 'holiday shop']",1.0,4.714285714285714,7,0.8571428571428571,Love itThis was a gift from me to myself. I am very pleased with this purchase.,33.0
40,Retail Brand 5W Usb Official Oem Charger And Power Adapter For Xyz Brand Tablets And Brand Name Ereaders Retail Brand 5W Usb Official Oem Charger And Power Adapter For Xyz Brand Tablets And Brand Name Ereaders,"['tablets', 'computers & tablets', '']",1.0,4.363636363636363,11,0.8181818181818182,Awesome productEasy-to-use. Lots of books obviously but also lots of apps.,48.0
41,Retail Brand Brand Name Lighted Leather Cover,"['electronics', 'ereaders', 'accessories', '']",1.0,4.0,1,1.0,"Lightweight, good viewing area. 1,Finally received the brand name Lighted Leather Cover for the newest version brand name. It is VERY lightweight and I had to double and triple check the description considering it states this is a leather cover. The front cover is very thin with a medium-weight cardboard feel to it. The leather on the front cover is extremely thin and you can immediately tell the surface will be easily scratched and marred with normal everyday use. The inside of the front cover has a thin microfiber material to protect the screen. The back cover is hollowed out plastic to form-fit your brand name and snaps in with relative ease.Using the enclosed graphic instruction card, I removed the brand name as shown, having to use just enough pressure to make me a bit concerned for someone who would place and remove their brand name in this cover frequently. However, I plan on using this cover as a full-time solution for both protection and as a light source.I went ahead and pulled up a book and switched the light on, heading to a closet to see how this looked in complete darkness. The light pulls out of the back cover and is nice and stiff and has a locked full-out position. The spread of the light is greater on top obviously but it does reach the entire screen on the brand name. There was no glare or reflection and I was able to easily read the page without any noticeable straining.If I were to choose between this design and the brand name Keyboard lighted cover, which I have used since its release, I would choose this newer cover.Read more",4.0
42,Retail Brand Brand Name Lighted Leather Cover Brand Name Keyboard,"['electronics', 'ereaders', 'accessories', '']",1.0,4.0,1,1.0,"High Quality Case For Your brand nameI purchased this brand name case in the Saddle Tan color. The leather is high quality (it has that wonderful new smell as well) and has beautiful stitching around the border on the front. The case does not add any bulk to the brand name. I find it quite comfortable to hold in one hand or two, as the front cover folds behind the case, and I truly feel like I am holding an actual book while reading.At the top of the case, there is a plastic arm that pulls upward to reveal a light, which illuminates the screen of the brand name perfectly in a dark room. My eyes have no trouble reading with the light activated. The light is powered by the brand name itself, by way of two metal prongs inside the case making contact with two metal tabs on the lower back of the brand name. The arm for the light does seem a bit delicate, and I could see a young child inadvertently breaking this if care is not shown. I fear that over time, this will be the first piece to stop functioning as the case is regularly used.My only criticism of this case is that there is no way to secure the front cover from opening. It would have been nice to include a clasp, or some kind of stretchable band to keep the case closed. I paid 54 for this case, which is almost as expensive as the brand name itself. At that price, the designers should have had the forethought to include a means of securing the case from opening. Aside from this potential problem, this brand name case is perfect, and adds a bit of sophistication to an already awesome device.Kudos, Target!",4.0
43,Retail Brand Brand Name Lighted Leather Cover Retail Brand Brand Name Lighted Leather Cover,"['electronics', 'ereaders', 'accessories', '']",1.0,3.0,1,0.0,"A Step Down In QualityI owned a brand name Keyboard for about a year, and I purchased the leather lighted case for that unit. While the corner light left a little to be desired as far as even lighting, overall I was very pleased with the case. Based on that experience, I went ahead and purchased the lighted cover for my new brand name. I can't say this experience has as been as positive.Let's start off with what's good about the case. The brand name battery powered light is a big improvement. The light is now centered on the screen, so illumination is more even now. I don't use the light often, but in the cases where I do it will be nice to have more balanced coverage. One positive on the case itself is that I appreciate how much lighter this one feels than the previous generation. The hinge area is smaller, which means less of the spine folding effect the other one took on after heavy use. I never took my brand name Keyboard out of the case after it was put in, so the snug fit I have seen complaints about is not an issue for me. It IS tight, though, so if you don't plan to keep the case on full time be aware it may take some effort to get it back out. In my situation, that tight fit is exactly what I want, but your mileage may vary.Now on to the negatives. The case does feel very cheap, especially with no change in price point. The previous cover felt like a solidly made piece of work, whereas the new cover only feels half as sturdy. The thinness of the case was no doubt done to minimize its weight, so I realize this is a personal issue. Outside the thickness, though, it just doesn't look or feel as well made. The textured surface of the previous model you that leather feel, very much like a real book. Finally, the most stunning oversight is the lack of a closure device.Read more",3.0
44,Retail Brand Brand Name Paperwhite Ebook Reader 4 Gb 6 Monochrome Paperwhite Touchscreen Wi Fi Black,"['office electronics', 'tablets', 'office', 'electronics', 'computers & tablets', 'ereaders', 'electronics features', 'media', 'tvs & electronics']",0.9931693989071039,4.771857923497268,2928,0.9812158469945356,ExcellentI was looking for a reader that was light enough to hold With one hand and this one is perfect.,13876.562841530054
45,Retail Brand Brand Name Paperwhite Ebook Reader 4 Gb 6 Monochrome Paperwhite Touchscreen Wi Fi Black,"['tablets', 'computers & tablets', '']",0.9354838709677419,4.556451612903226,248,0.9596774193548387,I like it but....Its a nice little set up but it's slow. I wish I would have investigated them a little more before just jumping in.,1057.0967741935485
46,Retail Brand Brand Name Touch Leather Case 4Th Generation 2011 Release Olive Green Retail Brand Brand Name Touch Leather Case 4Th Generation 2011 Release Olive Green,"['computers & tablets', 'tablets', '']",1.0,5.0,3,1.0,"great productgreat product to use , easy to setup and use.. with all Target options",15.0
47,Retail Brand Brand Name Voyage 4Gb Wi Fi 3G Black,"['tablets', 'computers & tablets', 'electronics', 'tech toys', 'media', 'retail']",1.0,5.0,1,1.0,Great valueCan't beat a tablet for $50 that actually works!!!,5.0
48,Retail Brand Brand Name Voyage 4Gb Wi Fi 3G Black Retail Brand Brand Name Voyage 4Gb Wi Fi 3G Black,"['tablets', 'computers & tablets', 'electronics', 'tech toys', 'media', 'retail']",1.0,4.708333333333333,24,0.9166666666666666,"Great tabletI bought 3 of these for my kids, and they love it. They are cheap and affordable.",113.0
49,Retail Brand Brand Name Voyage 4Gb Wi Fi 3G Black Xyz Brand Hd 8 Tablet With Alexa 8 Hd Display 16 Gb Tangerine With Special Offers,"['tablets', 'computers & tablets', 'electronics', 'tech toys', 'media', 'retail']",-1.0,3.0,1,0.0,To many adsIts ok for the price if willing to deal with the ads and cant download certain apps.,-3.0
50,Retail Brand Brand Name Xyz Brand 5Ft Usb To Micro Usb Cable Works With Most Micro Usb Tablets Retail Brand Brand Name Xyz Brand 5Ft Usb To Micro Usb Cable Works With Most Micro Usb Tablets,"['stereos', 'remote controls', 'audio', 'kitchen & dining features', 'electronics', 'tvs & electronics', 'retail', 'smart home', 'wireless speakers', 'home security', 'home automation', 'home', 'garage & office', 'electronics features', 'ipod', 'home & furniture clearance', 'consumer electronics', 'surveillance', 'home improvement', 'smart hubs', 'holiday shop']",1.0,4.25,4,1.0,Alexa is very good at quickly finding your musicAlexa is very good a quickly satisfying your music requests. The whole interface is novel and interesting to use and for guests who have not encountered Alexa previously. Sound quality is good but not top shelf. I purchased one for our son and son-in-law for Fathers Day. Finally about 3 weeks ago we bought one for ourselves. Net: worth purchasing.,17.0
51,Retail Brand Brand Name Xyz Brand Hd 3Rd Generation 8Gb Retail Brand Brand Name Xyz Brand Hd 3Rd Generation 8Gb,"['accessories', '']",1.0,4.0,1,1.0,"It is a pretty large charger though and doesn't fit in the brand name ...Very expensive charger. I think the brand name should come with it as does all other tablets, including the XYZ brand, which is way cheaper and includes the charger for just 50. It is a pretty large charger though and doesn't fit in the brand name box with the brand name, at all.",4.0
52,Retail Brand Brand Name Xyz Brand Hd 3Rd Generation 8Gb Retail Brand Brand Name Xyz Brand Hd 3Rd Generation 8Gb,"['electronics', 'tablets', 'computers & tablets', 'ereaders', 'used:computers accessories', 'used:tablets', 'computers', 'electronics features']",1.0,5.0,1,1.0,"Great eReaderWhat is there to say, but that I love it. Functions well, and lasts a long time.",5.0
